mes-año;Acum_mensual;Prom_mensual
1/8/1998;263,5;8,5
1/9/1998;326,8;10,54193548
1/10/1998;651,9;21,02903226
1/11/1998;143,7;4,635483871
1/12/1998;7,7;0,248387097
1/1/1999;1,8;0,058064516
1/2/1999;19,5;0,629032258
1/3/1999;0;0
1/4/1999;100,7;3,248387097
1/5/1999;321,7;10,37741935
1/6/1999;258,2;8,329032258
1/7/1999;117,2;3,780645161
1/8/1999;229,6;7,406451613
1/9/1999;789,5;25,46774194
1/10/1999;292,8;9,44516129
1/11/1999;180,8;5,832258065
1/12/1999;19,4;0,625806452
1/1/2000;0;0
1/2/2000;0;0
1/3/2000;0;0
1/4/2000;1,8;0,058064516
1/5/2000;291,7;9,409677419
1/6/2000;168,1;5,422580645
1/7/2000;96,7;3,119354839
1/8/2000;231,4;7,464516129
1/9/2000;496,4;16,01290323
1/10/2000;94,4;3,04516129
1/11/2000;85,9;2,770967742
1/12/2000;0;0
1/1/2001;0;0
1/2/2001;0;0
1/3/2001;0;0
1/4/2001;20,4;0,658064516
1/5/2001;357,6;11,53548387
1/6/2001;52,7;1,7
1/7/2001;63,2;2,038709677
1/8/2001;214,3;6,912903226
1/9/2001;301,2;9,716129032
1/10/2001;466,7;15,05483871
1/11/2001;71,5;2,306451613
1/12/2001;15,4;0,496774194
1/1/2002;0;0
1/2/2002;0;0
1/3/2002;0;0
1/4/2002;5,7;0,183870968
1/5/2002;205,4;6,625806452
1/6/2002;164,6;5,309677419
1/7/2002;172,2;5,55483871
1/8/2002;201,8;6,509677419
1/9/2002;324,3;10,46129032
1/10/2002;225,5;7,274193548
1/11/2002;197,1;6,358064516
1/12/2002;30;0,967741935
1/1/2003;0;0
1/2/2003;0;0
1/3/2003;19,1;0,616129032
1/4/2003;57,2;1,84516129
1/5/2003;271,3;8,751612903
1/6/2003;315,2;10,16774194
1/7/2003;120,3;3,880645161
1/8/2003;250,6;8,083870968
1/9/2003;272,5;8,790322581
1/10/2003;408,2;13,16774194
1/11/2003;120,2;3,877419355
1/12/2003;19,1;0,616129032
1/1/2004;0;0
1/2/2004;12,4;0,4
1/3/2004;0;0
1/4/2004;0;0
1/5/2004;315;10,16129032
1/6/2004;246,9;7,964516129
1/7/2004;145,2;4,683870968
1/8/2004;134,8;4,348387097
1/9/2004;258,9;8,351612903
1/10/2004;245;7,903225806
1/11/2004;54,9;1,770967742
1/12/2004;2,8;0,090322581
1/1/2005;0;0
1/2/2005;0;0
1/3/2005;72,7;2,34516129
1/4/2005;0;0
1/5/2005;240,4;7,75483871
1/6/2005;236,6;7,632258065
1/7/2005;212,8;6,864516129
1/8/2005;221,3;7,138709677
1/9/2005;567,7;18,31290323
1/10/2005;789,2;25,45806452
1/11/2005;96;3,096774194
1/12/2005;3,8;0,122580645
1/1/2006;0;0
1/2/2006;0;0
1/3/2006;0;0
1/4/2006;12,5;0,403225806
1/5/2006;308,9;9,964516129
1/6/2006;327,7;10,57096774
1/7/2006;226;7,290322581
1/8/2006;297,8;9,606451613
1/9/2006;140;4,516129032
1/10/2006;290,1;9,358064516
1/11/2006;340,1;10,97096774
1/12/2006;0;0
1/1/2007;0;0
1/2/2007;0;0
1/3/2007;0;0
1/4/2007;58;1,870967742
1/5/2007;306,9;9,9
1/6/2007;188,7;6,087096774
1/7/2007;196,1;6,325806452
1/8/2007;458,9;14,80322581
1/9/2007;408,2;13,60666667
1/10/2007;743,3;23,97741935
1/11/2007;34,7;1,119354839
1/12/2007;26,3;0,848387097
1/1/2008;0;0
1/2/2008;7,5;0,241935484
1/3/2008;0;0
1/4/2008;62;2
1/5/2008;428,7;13,82903226
1/6/2008;365,2;11,78064516
1/7/2008;489,2;15,78064516
1/8/2008;406,1;13,1
1/9/2008;414;13,35483871
1/10/2008;522,8;16,86451613
1/11/2008;66,4;2,141935484
1/12/2008;3,4;0,109677419
1/1/2009;0;0
1/2/2009;0;0
1/3/2009;5,3;0,170967742
1/4/2009;0;0
1/5/2009;237,6;7,664516129
1/6/2009;420,4;14,01333333
1/7/2009;13,6;0,438709677
1/8/2009;310,4;10,01290323
1/9/2009;202,3;6,743333333
1/10/2009;269;8,677419355
1/11/2009;218,6;7,286666667
1/12/2009;8,5;0,274193548
1/1/2010;0;0
1/2/2010;0;0
1/3/2010;0;0
1/4/2010;167,8;5,412903226
1/5/2010;500,8;16,15483871
1/6/2010;320,5;10,33870968
1/7/2010;464,8;14,99354839
1/8/2010;354,6;11,43870968
1/9/2010;550,4;18,34666667
1/10/2010;169,1;5,45483871
1/11/2010;391,1;13,03666667
1/12/2010;0;0
1/1/2011;0;0
1/2/2011;0;0
1/3/2011;0;0
1/4/2011;31,7;1,022580645
1/5/2011;219,4;7,077419355
1/6/2011;257,2;8,296774194
1/7/2011;287,3;9,267741935
1/8/2011;247,9;7,996774194
1/9/2011;315,2;10,16774194
1/10/2011;686,6;22,1483871
1/11/2011;59,8;1,929032258
1/12/2011;0;0
1/1/2012;0;0
1/2/2012;0;0
1/3/2012;0;0
1/4/2012;29,9;0,964516129
1/5/2012;192,7;6,216129032
1/6/2012;220,6;7,116129032
1/7/2012;113,4;3,658064516
1/8/2012;219,8;7,090322581
1/9/2012;256,1;8,261290323
1/10/2012;523,9;16,9
1/11/2012;12,5;0,403225806
1/12/2012;0;0
1/1/2013;0;0
1/2/2013;0;0
1/3/2013;0;0
1/4/2013;48,5;1,616666667
1/5/2013;246,2;7,941935484
1/6/2013;192,6;6,42
1/7/2013;86,2;2,780645161
1/8/2013;227,9;7,351612903
1/9/2013;363,3;12,11
1/10/2013;313,4;10,10967742
1/11/2013;139,5;4,65
1/12/2013;0;0
1/1/2014;0;0
1/2/2014;0;0
1/3/2014;0;0
1/4/2014;53,8;1,793333333
1/5/2014;184,4;5,948387097
1/6/2014;52,5;1,75
1/7/2014;8,4;0,270967742
1/8/2014;133,7;4,312903226
1/9/2014;267,1;8,903333333
1/10/2014;504,6;16,27741935
1/11/2014;94,1;3,136666667
1/12/2014;0;0
1/1/2015;0;0
1/2/2015;0;0
1/3/2015;0;0
1/4/2015;18,2;0,587096774
1/5/2015;49;1,580645161
1/6/2015;136,8;4,56
1/7/2015;51,8;1,670967742
1/8/2015;114,5;3,693548387
1/9/2015;251,4;8,38
1/10/2015;243,3;7,848387097
1/11/2015;214,9;7,163333333
1/12/2015;0;0
1/1/2016;0;0
1/2/2016;0;0
1/3/2016;0;0
1/4/2016;20,5;0,661290323
1/5/2016;266;8,580645161
1/6/2016;121,2;20,2
1/7/2016;418,7;16,748
1/8/2016;208,5;6,725806452
1/9/2016;355,8;11,86
1/10/2016;334,3;10,78387097
1/11/2016;231,2;7,706666667
1/12/2016;89,3;2,880645161
1/1/2017;0;0
1/2/2017;0;0
1/3/2017;0;0
1/4/2017;27,8;0,926666667
1/5/2017;265;8,548387097
1/6/2017;350,6;11,68666667
1/7/2017;168;5,419354839
1/8/2017;270,4;8,722580645
1/9/2017;363,2;12,10666667
1/10/2017;751;24,22580645
